ID	DOCULECT	CONCEPT	TOKENS	IPA
1783	Azerbaijani	companion	j ɔ l d ɑ ʃ	jɔldɑʃ
1784	Azerbaijani	matter	ɪ ʃ	ɪʃ
1785	Azerbaijani	count	s ɑ j	sɑj
1786	Azerbaijani	sort	tʃ ɛ ʃ ɪ d	t͡ʃɛʃɪd
1787	Azerbaijani	piece	d æ n æ	dænæ
1788	Azerbaijani	piece	p ɑ r tʃ ɑ	pɑrt͡ʃɑ
1789	Azerbaijani	part	g ɪ s ɪ m	ɡɪsɪm
1790	Azerbaijani	half	j ɑ r ɯ m	jɑrɯm
1791	Azerbaijani	circle	d ɑ ɪ r æ	dɑɪræ
1792	Azerbaijani	cross	χ ɑ tʃ	χɑt͡ʃ
1793	Azerbaijani	line	χ æ tː	χætː
1794	Azerbaijani	stroke	dʒ ɯ z ɯ g	d͡ʒɯzɯɡ
1795	Azerbaijani	gap	m æ s ɑ f æ	mæsɑfæ
1796	Azerbaijani	distance	m æ s ɑ f æ	mæsɑfæ
1797	Azerbaijani	distance	u z ɑ g l ɯ g	uzɑɡlɯɡ
1798	Azerbaijani	area	b œ l ɟ æ	bœlɟæ
1799	Azerbaijani	space	j ɛ r	jɛr
1800	Azerbaijani	place	j ɛ r	jɛr
1801	Azerbaijani	side	j ɑ n	jɑn
1802	Azerbaijani	side	t æ r æ f	tæræf
1803	Azerbaijani	middle	ɔ r t ɑ	ɔrtɑ
1804	Azerbaijani	item	ʃ ɛ j	ʃɛj
1805	Azerbaijani	thing	ʃ ɛ j	ʃɛj
1806	Azerbaijani	fringe	k æ n ɑ r	kænɑr
1807	Azerbaijani	edge	t ɪ j æ	tɪjæ
1808	Azerbaijani	edge	k æ n ɑ r	kænɑr
1809	Azerbaijani	corner	b u dʒ ɑ g	bud͡ʒɑɡ
1810	Azerbaijani	tip	u dʒ	ud͡ʒ
1811	Azerbaijani	end	s ɔ n	sɔn
1812	Azerbaijani	end	ɑ χ ɯ r	ɑχɯr
1813	Azerbaijani	hole	d ɛ ʃ ɪ k	dɛʃɪk
1814	Azerbaijani	angle	ɟ u ʃ æ	ɟuʃæ
1815	Azerbaijani	pattern	y l ɟ y	ylɟy
1816	Azerbaijani	size	b œ j y k l y k	bœjyklyk
1817	Azerbaijani	length	u z u n l u g	uzunluɡ
1818	Azerbaijani	height	j y k s æ k l ɪ k	jyksæklɪk
1819	Azerbaijani	weight	tʃ æ k ɪ	t͡ʃækɪ
1820	Azerbaijani	weight	ɑ ɣ ɯ r l ɯ g	ɑɣɯrlɯɡ
1821	Azerbaijani	amount	m ɪ g d ɑ r	mɪɡdɑr
1822	Azerbaijani	heap	j ɯ ɣ ɯ n	jɯɣɯn
1823	Azerbaijani	row	s æ f	sæf
1824	Azerbaijani	row	s ɯ r ɑ	sɯrɑ
1825	Azerbaijani	boat	g ɑ j ɯ g	ɡɑjɯɡ
1826	Azerbaijani	oar	k y r æ k	kyræk
1827	Azerbaijani	sleigh	k ɪ r ʃ æ	kɪrʃæ
1828	Azerbaijani	ski	χ ɪ z æ k	χɪzæk
1829	Azerbaijani	campfire	d y ʃ æ r ɟ æ + t ɔ n g ɑ l ɯ	dyʃærɟæ_tɔnɡɑlɯ
1830	Azerbaijani	load	j y k	jyk
1831	Azerbaijani	walk	j ɛ r ɪ ʃ	jɛrɪʃ
1832	Azerbaijani	step	ɑ dː ɯ m	ɑdːɯm
1833	Azerbaijani	north	ʃ ɪ m ɑ l	ʃɪmɑl
1834	Azerbaijani	south	dʒ æ n u b	d͡ʒænub
1835	Azerbaijani	west	g æ r b	ɡærb
1836	Azerbaijani	east	ʃ æ r g	ʃærɡ
1837	Azerbaijani	wood	ɑ ɣ ɑ dʒ	ɑɣɑd͡ʒ
1838	Azerbaijani	wood	t ɑ χ t ɑ	tɑχtɑ
1839	Azerbaijani	board	t ɑ χ t ɑ	tɑχtɑ
1840	Azerbaijani	slab	l œ v h æ	lœvhæ
1841	Azerbaijani	support, rest	d ɑ j ɑ g	dɑjɑɡ
1842	Azerbaijani	support, rest	d æ s t æ k	dæstæk
1843	Azerbaijani	pole	ʃ y v y l	ʃyvyl
1844	Azerbaijani	stick	d æ j æ n æ k	dæjænæk
1845	Azerbaijani	staff	æ s ɑ	æsɑ
1846	Azerbaijani	staff	ʃ y v y l	ʃyvyl
1847	Azerbaijani	pipe	b ɔ r u	bɔru
1848	Azerbaijani	pipe	t r u b ɑ	trubɑ
1849	Azerbaijani	house	ɛ v	ɛv
1850	Azerbaijani	home	ɛ v	ɛv
1851	Azerbaijani	stove	p ɛ tʃ	pɛt͡ʃ
1852	Azerbaijani	stove	s ɔ b ɑ	sɔbɑ
1853	Azerbaijani	floor	d œ ʃ æ m æ	dœʃæmæ
1854	Azerbaijani	table	m ɑ s ɑ	mɑsɑ
1855	Azerbaijani	chair	s t u l	stul
1856	Azerbaijani	cradle	b ɛ ʃ ɪ k	bɛʃɪk
1857	Azerbaijani	bed	j ɑ t ɑ g	jɑtɑɡ
1858	Azerbaijani	shelf	r æ f	ræf
1859	Azerbaijani	box	j ɛ ʃ ɪ k	jɛʃɪk
1860	Azerbaijani	box	s ɑ n d ɯ g	sɑndɯɡ
1861	Azerbaijani	window	p æ n dʒ æ r æ	pænd͡ʒæræ
1862	Azerbaijani	door	g ɑ p ɯ	ɡɑpɯ
1863	Azerbaijani	gate	d ɑ r v ɑ z ɑ	dɑrvɑzɑ
1864	Azerbaijani	fence	tʃ æ p æ r	t͡ʃæpær
1865	Azerbaijani	roof	d ɑ m	dɑm
1866	Azerbaijani	ladder	n æ r d ɪ v ɑ n	nærdɪvɑn
1867	Azerbaijani	broom	s y p y r ɟ æ	sypyrɟæ
1868	Azerbaijani	spade	k y r æ k	kyræk
1869	Azerbaijani	shovel	k y r æ k	kyræk
1870	Azerbaijani	fork	tʃ æ n ɟ æ l	t͡ʃænɟæl
1871	Azerbaijani	spoon	g ɑ ʃ ɯ g	ɡɑʃɯɡ
1872	Azerbaijani	knife	b ɯ tʃ ɑ g	bɯt͡ʃɑɡ
1873	Azerbaijani	nail	m ɯ χ	mɯχ
1874	Azerbaijani	net	t ɔ r	tɔr
1875	Azerbaijani	hook	tʃ æ n ɟ æ l	t͡ʃænɟæl
1876	Azerbaijani	handle	g u l p	ɡulp
1877	Azerbaijani	handle	t u t ɑ dʒ ɑ g	tutɑd͡ʒɑɡ
1878	Azerbaijani	lock	g ɯ f ɯ l	ɡɯfɯl
1879	Azerbaijani	picture	r æ s m	ræsm
1880	Azerbaijani	figure	ʃ æ k ɪ l	ʃækɪl
1881	Azerbaijani	figure	h ɛ j k æ l	hɛjkæl
1882	Azerbaijani	doll	k u k l ɑ	kuklɑ
1883	Azerbaijani	doll	ɟ æ l ɪ n dʒ ɪ k	ɟælɪnd͡ʒɪk
1884	Azerbaijani	pouch	k ɪ s æ	kɪsæ
1885	Azerbaijani	pouch	t ɔ r b ɑ	tɔrbɑ
1886	Azerbaijani	bundle	b ɑ ɣ l ɑ m ɑ	bɑɣlɑmɑ
1887	Azerbaijani	bag	tʃ ɑ n t ɑ	t͡ʃɑntɑ
1888	Azerbaijani	bucket	v ɛ d r æ	vɛdræ
1889	Azerbaijani	bucket	tʃ æ lː æ k	t͡ʃælːæk
1890	Azerbaijani	cover, lid	g ɑ p ɑ g	ɡɑpɑɡ
1891	Azerbaijani	dishes	g ɑ b g ɑ z ɑ n	ɡɑbɡɑzɑn
1892	Azerbaijani	sack	tʃ u v ɑ l	t͡ʃuvɑl
1893	Azerbaijani	cup	f ɪ n dʒ ɑ n	fɪnd͡ʒɑn
1894	Azerbaijani	pot	g ɑ z ɑ n	ɡɑzɑn
1895	Azerbaijani	kettle	g ɑ z ɑ n	ɡɑzɑn
1896	Azerbaijani	meal	j ɛ m æ k	jɛmæk
1897	Azerbaijani	food	g ɪ d ɑ	ɡɪdɑ
1898	Azerbaijani	dish	χ œ r æ k	χœræk
1899	Azerbaijani	meat	æ t	æt
1900	Azerbaijani	corn	t ɑ χ ɯ l	tɑχɯl
1901	Azerbaijani	mush	ɑ ʃ	ɑʃ
1902	Azerbaijani	mush	s ɯ j ɯ g	sɯjɯɡ
1903	Azerbaijani	bread	tʃ œ r æ k	t͡ʃœræk
1904	Azerbaijani	slice	d ɪ l ɪ m	dɪlɪm
1905	Azerbaijani	fat	j ɑ ɣ	jɑɣ
1906	Azerbaijani	butter	k æ r æ + j ɑ ɣ ɯ	kæræ_jɑɣɯ
1907	Azerbaijani	oil	j ɑ ɣ	jɑɣ
1908	Azerbaijani	salt	d u z	duz
1909	Azerbaijani	soup	ʃ ɔ r b ɑ	ʃɔrbɑ
1910	Azerbaijani	honey	b ɑ l	bɑl
1911	Azerbaijani	milk	s y d	syd
1912	Azerbaijani	tea	tʃ ɑ j	t͡ʃɑj
1913	Azerbaijani	leather	d æ r ɪ	dærɪ
1914	Azerbaijani	wool	j u n	jun
1915	Azerbaijani	cloth	g u m ɑ ʃ	ɡumɑʃ
1916	Azerbaijani	needle	ɪ j n æ	ɪjnæ
1917	Azerbaijani	thread	s ɑ p	sɑp
1918	Azerbaijani	button	d y j m æ	dyjmæ
1919	Azerbaijani	knot	d y j y n	dyjyn
1920	Azerbaijani	paint	b ɔ j ɑ	bɔjɑ
1921	Azerbaijani	clothes	ɟ ɛ j ɪ m	ɟɛjɪm
1922	Azerbaijani	shirt	k œ j n æ k	kœjnæk
1923	Azerbaijani	collar	j ɑ χ ɑ	jɑχɑ
1924	Azerbaijani	sleeve	g ɔ l	ɡɔl
1925	Azerbaijani	trousers	ʃ ɑ l v ɑ r	ʃɑlvɑr
1926	Azerbaijani	belt	k æ m æ r	kæmær
1927	Azerbaijani	cap	ʃ ɑ p k ɑ	ʃɑpkɑ
1928	Azerbaijani	shoe	t u f l ɪ	tuflɪ
1929	Azerbaijani	shoe	ɑ j ɑ gː ɑ b ɯ	ɑjɑɡːɑbɯ
1930	Azerbaijani	boot	tʃ æ k m æ	t͡ʃækmæ
1931	Azerbaijani	ring	y z y k	yzyk
1932	Azerbaijani	ribbon	l ɛ n t	lɛnt
1933	Azerbaijani	comb	d ɑ r ɑ g	dɑrɑɡ
1934	Azerbaijani	mirror	ɟ y z ɟ y	ɟyzɟy
1935	Azerbaijani	strap	g ɑ j ɯ ʃ	ɡɑjɯʃ
1936	Azerbaijani	string	ɪ p	ɪp
1937	Azerbaijani	leash	k æ m s ɪ k	kæmsɪk
1938	Azerbaijani	blanket	æ d j ɑ l	ædjɑl
1939	Azerbaijani	blanket	j ɔ r ɣ ɑ n	jɔrɣɑn
1940	Azerbaijani	pillow	j ɑ s t ɯ g	jɑstɯɡ
1941	Azerbaijani	scarf	ʃ ɑ r f	ʃɑrf
1942	Azerbaijani	scarf	k ɑ ʃ n ɛ	kɑʃnɛ
1943	Azerbaijani	towel	d æ s m ɑ l	dæsmɑl
1944	Azerbaijani	force	ɟ y dʒ	ɟyd͡ʒ
1945	Azerbaijani	strength	g y vː æ t	ɡyvːæt
1946	Azerbaijani	health	s ɑ ɣ l ɑ m l ɯ g	sɑɣlɑmlɯɡ
1947	Azerbaijani	illness	χ æ s t æ l ɪ k	χæstælɪk
1948	Azerbaijani	pain	ɑ ɣ r ɯ	ɑɣrɯ
1949	Azerbaijani	pain	s ɑ n dʒ ɯ	sɑnd͡ʒɯ
1950	Azerbaijani	wound	j ɑ r ɑ	jɑrɑ
1951	Azerbaijani	fever	ɪ s ɪ t m æ	ɪsɪtmæ
1952	Azerbaijani	fever	g ɯ z d ɯ r m ɑ	ɡɯzdɯrmɑ
1953	Azerbaijani	medicine	ɪ l ɑ tʃ	ɪlɑt͡ʃ
1954	Azerbaijani	medicine	d æ r m ɑ n	dærmɑn
1955	Azerbaijani	bridge	k œ r p y	kœrpy
1956	Azerbaijani	well	g u j u	ɡuju
1957	Azerbaijani	pasture	ɔ t l ɑ g	ɔtlɑɡ
1958	Azerbaijani	path	dʒ ɯ ɣ ɯ r	d͡ʒɯɣɯr
1959	Azerbaijani	way	j ɔ l	jɔl
1960	Azerbaijani	road	k y tʃ æ	kyt͡ʃæ
1961	Azerbaijani	village	k æ n d	kænd
1962	Azerbaijani	town	ʃ æ h æ r	ʃæhær
1963	Azerbaijani	letter	m æ k t u b	mæktub
1964	Azerbaijani	book	k ɪ t ɑ b	kɪtɑb
1965	Azerbaijani	character	h æ r f	hærf
1966	Azerbaijani	newspaper	g æ z ɛ t	ɡæzɛt
1967	Azerbaijani	life	h æ j ɑ t	hæjɑt
1968	Azerbaijani	death	œ l y m	œlym
1969	Azerbaijani	grave	g æ b ɪ r	ɡæbɪr
1970	Azerbaijani	church	k ɪ l s æ	kɪlsæ
1971	Azerbaijani	sin	ɟ y n ɑ h	ɟynɑh
1972	Azerbaijani	god	t ɑ n r ɯ	tɑnrɯ
1973	Azerbaijani	worker	ɪ ʃ tʃ ɪ	ɪʃt͡ʃɪ
1974	Azerbaijani	boss	ʃ ɛ f	ʃɛf
1975	Azerbaijani	boss	r æ ɪ s	ræɪs
1976	Azerbaijani	master	u s t ɑ	ustɑ
1977	Azerbaijani	doctor	h æ k ɪ m	hækɪm
1978	Azerbaijani	doctor	d ɔ k t ɔ r	dɔktɔr
1979	Azerbaijani	teacher	m y æ lː ɪ m	myælːɪm
1980	Azerbaijani	money	p u l	pul
1981	Azerbaijani	business	t ɪ dʒ ɑ r æ t	tɪd͡ʒɑræt
1982	Azerbaijani	shop	d y k ɑ n	dykɑn
1983	Azerbaijani	price	g ɪ j m æ t	ɡɪjmæt
1984	Azerbaijani	ware	m ɑ l	mɑl
1985	Azerbaijani	benefit	f ɑ j d ɑ	fɑjdɑ
1986	Azerbaijani	wealth	z æ n ɟ ɪ n l ɪ k	zænɟɪnlɪk
1987	Azerbaijani	world	ɑ l æ m	ɑlæm
1988	Azerbaijani	world	d y n j ɑ	dynjɑ
1989	Azerbaijani	country	œ l k æ	œlkæ
1990	Azerbaijani	state	d œ v l æ t	dœvlæt
1991	Azerbaijani	king	k r ɑ l	krɑl
1992	Azerbaijani	king	m æ l ɪ k	mælɪk
1993	Azerbaijani	power	g y d r æ t	ɡydræt
1994	Azerbaijani	border	h y d u d	hydud
1995	Azerbaijani	border	s æ r h æ t	særhæt
1996	Azerbaijani	war	h æ r b	hærb
1997	Azerbaijani	war	m y h ɑ r ɪ b æ	myhɑrɪbæ
1998	Azerbaijani	enemy	d y ʃ m æ n	dyʃmæn
1999	Azerbaijani	violence	dʒ æ b r	d͡ʒæbr
2000	Azerbaijani	fight	s ɑ v ɑ ʃ	sɑvɑʃ
2001	Azerbaijani	bow	j ɑ j	jɑj
2002	Azerbaijani	arrow	ɔ χ	ɔχ
2003	Azerbaijani	gun	t y f æ n ɟ	tyfænɟ
2004	Azerbaijani	mistake	χ æ t ɑ	χætɑ
2005	Azerbaijani	lie	j ɑ l ɑ n	jɑlɑn
2006	Azerbaijani	damage	z ɪ j ɑ n	zɪjɑn
2007	Azerbaijani	misfortune	b æ l ɑ	bælɑ
2008	Azerbaijani	fault	t æ g s ɪ r	tæɡsɪr
2009	Azerbaijani	age	j ɑ ʃ	jɑʃ
2010	Azerbaijani	end	s ɔ n	sɔn
2011	Azerbaijani	time	v ɑ χ t	vɑχt
2012	Azerbaijani	time	z ɑ m ɑ n	zɑmɑn
2013	Azerbaijani	day	ɟ y n	ɟyn
2014	Azerbaijani	morning	s ɑ b ɑ h	sɑbɑh
2015	Azerbaijani	noon	ɟ y n ɔ r t ɑ	ɟynɔrtɑ
2016	Azerbaijani	evening	ɑ χ ʃ ɑ m	ɑχʃɑm
2017	Azerbaijani	night	ɟ ɛ dʒ æ	ɟɛd͡ʒæ
2018	Azerbaijani	week	h æ f t æ	hæftæ
2019	Azerbaijani	month	ɑ j	ɑj
2020	Azerbaijani	year	ɪ l	ɪl
2021	Azerbaijani	spring	j ɑ z	jɑz
2022	Azerbaijani	spring	b ɑ h ɑ r	bɑhɑr
2023	Azerbaijani	summer	j ɑ j	jɑj
2024	Azerbaijani	autumn	p ɑ j ɯ z	pɑjɯz
2025	Azerbaijani	winter	g ɯ ʃ	ɡɯʃ
2026	Azerbaijani	little	k ɪ tʃ ɪ k	kɪt͡ʃɪk
2027	Azerbaijani	short	g ɯ s ɑ	ɡɯsɑ
2028	Azerbaijani	wide	ɛ n l ɪ	ɛnlɪ
2029	Azerbaijani	wide	ɟ ɛ n ɪ ʃ	ɟɛnɪʃ
2030	Azerbaijani	narrow	d ɑ r	dɑr
2031	Azerbaijani	dense	s ɯ χ	sɯχ
2032	Azerbaijani	thick	g ɑ l ɯ n	ɡɑlɯn
2033	Azerbaijani	thin	n ɑ z ɪ k	nɑzɪk
2034	Azerbaijani	delicate, fine	ɪ n dʒ æ	ɪnd͡ʒæ
2035	Azerbaijani	firm, solid	b æ r k	bærk
2036	Azerbaijani	firm, solid	m œ h k æ m	mœhkæm
2037	Azerbaijani	flat	d y z	dyz
2038	Azerbaijani	smooth	h ɑ m ɑ r	hɑmɑr
2039	Azerbaijani	hard	s æ r t	sært
2040	Azerbaijani	soft	j u m ʃ ɑ g	jumʃɑɡ
2041	Azerbaijani	round	j u v ɑ r l ɑ g	juvɑrlɑɡ
2042	Azerbaijani	pointed	u dʒ l u	ud͡ʒlu
2043	Azerbaijani	pointed	s ɪ v r ɪ	sɪvrɪ
2044	Azerbaijani	sharp	k æ s k ɪ n	kæskɪn
2045	Azerbaijani	blunt	k y t	kyt
2046	Azerbaijani	heavy	ɑ ɣ ɯ r	ɑɣɯr
2047	Azerbaijani	beautiful	ɟ œ z æ l	ɟœzæl
2048	Azerbaijani	beautiful	ɟ æ ʃ æ n ɟ	ɟæʃænɟ
2049	Azerbaijani	hot	ɪ s t ɪ	ɪstɪ
2050	Azerbaijani	warm	ɪ l ɯ g	ɪlɯɡ
2051	Azerbaijani	cold	s ɔ j u g	sɔjuɡ
2052	Azerbaijani	cool	s æ r ɪ n	særɪn
2053	Azerbaijani	fresh	t æ z æ	tæzæ
2054	Azerbaijani	damp	n æ m	næm
2055	Azerbaijani	wet	j ɑ ʃ	jɑʃ
2056	Azerbaijani	dry	g u r u	ɡuru
2057	Azerbaijani	full	d ɔ l u	dɔlu
2058	Azerbaijani	empty	b ɔ ʃ	bɔʃ
2059	Azerbaijani	open	ɑ tʃ ɯ g	ɑt͡ʃɯɡ
2060	Azerbaijani	closed	g ɑ p ɑ l ɯ	ɡɑpɑlɯ
2061	Azerbaijani	clean	t æ m ɪ z	tæmɪz
2062	Azerbaijani	dirty	k ɪ r l ɪ	kɪrlɪ
2063	Azerbaijani	raw	tʃ ɪ j	t͡ʃɪj
2064	Azerbaijani	ripe	j ɛ t ɪ ʃ m ɪ ʃ	jɛtɪʃmɪʃ
2065	Azerbaijani	delicious	d ɑ d l ɯ	dɑdlɯ
2066	Azerbaijani	delicious	l æ zː æ t l ɪ	læzːætlɪ
2067	Azerbaijani	sweet	ʃ ɪ r ɪ n	ʃɪrɪn
2068	Azerbaijani	bitter	ɑ dʒ ɯ	ɑd͡ʒɯ
2069	Azerbaijani	sour	t u r ʃ	turʃ
2070	Azerbaijani	bright	ɑ j d ɯ n	ɑjdɯn
2071	Azerbaijani	dark	g ɑ r ɑ n l ɯ g	ɡɑrɑnlɯɡ
2072	Azerbaijani	black	g ɑ r ɑ	ɡɑrɑ
2073	Azerbaijani	white	ɑ ɣ	ɑɣ
2074	Azerbaijani	red	g ɯ r m ɯ z ɯ	ɡɯrmɯzɯ
2075	Azerbaijani	yellow	s ɑ r ɯ	sɑrɯ
2076	Azerbaijani	blue	ɟ œ j	ɟœj
2077	Azerbaijani	blue	m ɑ v ɪ	mɑvɪ
2078	Azerbaijani	green	j ɑ ʃ ɯ l	jɑʃɯl
2079	Azerbaijani	grey	b ɔ z	bɔz
2080	Azerbaijani	colourful	æ l v ɑ n	ælvɑn
2081	Azerbaijani	colourful	r æ n ɟ l ɪ	rænɟlɪ
2082	Azerbaijani	cheap	u dʒ u z	ud͡ʒuz
2083	Azerbaijani	expensive	b ɑ h ɑ l ɯ	bɑhɑlɯ
2084	Azerbaijani	precious	g ɪ j m æ t l ɪ	ɡɪjmætlɪ
2085	Azerbaijani	blind	k ɔ r	kɔr
2086	Azerbaijani	deaf	k ɑ r	kɑr
2087	Azerbaijani	powerful	ɟ y dʒ l y	ɟyd͡ʒly
2088	Azerbaijani	strong	g y vː æ t l ɪ	ɡyvːætlɪ
2089	Azerbaijani	weak	z æ ɪ f	zæɪf
2090	Azerbaijani	weak	ɟ y dʒ s y z	ɟyd͡ʒsyz
2091	Azerbaijani	fat	ʃ ɪ ʃ m ɑ n	ʃɪʃmɑn
2092	Azerbaijani	slim	z æ r ɪ f	zærɪf
2093	Azerbaijani	pretty	ɟ œ j tʃ æ k	ɟœjt͡ʃæk
2094	Azerbaijani	evil	f æ n ɑ	fænɑ
2095	Azerbaijani	stupid	ɑ χ m ɑ g	ɑχmɑɡ
2096	Azerbaijani	lazy	t æ n b æ l	tænbæl
2097	Azerbaijani	diligent	tʃ ɑ l ɯ ʃ g ɑ n	t͡ʃɑlɯʃɡɑn
2098	Azerbaijani	stingy	χ æ s ɪ s	χæsɪs
2099	Azerbaijani	clever	ɑ ɣ ɯ lː ɯ	ɑɣɯlːɯ
2100	Azerbaijani	skilful	b ɑ dʒ ɑ r ɯ g l ɯ	bɑd͡ʒɑrɯɡlɯ
2101	Azerbaijani	dear	æ z ɪ z	æzɪz
2102	Azerbaijani	dear	s ɛ v ɪ m l ɪ	sɛvɪmlɪ
2103	Azerbaijani	merry	m æ z æ l ɪ	mæzælɪ
2104	Azerbaijani	merry	ɟ y l m æ l ɪ	ɟylmælɪ
2105	Azerbaijani	gentle	m y l ɑ j ɪ m	mylɑjɪm
2106	Azerbaijani	hungry	ɑ dʒ	ɑd͡ʒ
2107	Azerbaijani	sick, ill	χ æ s t æ	χæstæ
2108	Azerbaijani	naked	tʃ ɯ l p ɑ g	t͡ʃɯlpɑɡ
2109	Azerbaijani	sad	g æ m ɟ ɪ n	ɡæmɟɪn
2110	Azerbaijani	sad	k æ d æ r l ɪ	kædærlɪ
2111	Azerbaijani	living	dʒ ɑ n l ɯ	d͡ʒɑnlɯ
2112	Azerbaijani	good	j ɑ χ ʃ ɯ	jɑχʃɯ
2113	Azerbaijani	bad	p ɪ s	pɪs
2114	Azerbaijani	correct	d ɔ ɣ r u	dɔɣru
2115	Azerbaijani	nasty, dire	f æ n ɑ	fænɑ
2116	Azerbaijani	true	ɟ æ r tʃ æ k	ɟært͡ʃæk
2117	Azerbaijani	old	æ s k ɪ	æskɪ
2118	Azerbaijani	old	k œ h n æ	kœhnæ
2119	Azerbaijani	new	j ɛ n ɪ	jɛnɪ
2120	Azerbaijani	former	æ vː æ l k ɪ	ævːælkɪ
2121	Azerbaijani	aged, old	g ɔ dʒ ɑ	ɡɔd͡ʒɑ
2122	Azerbaijani	young	ɟ æ n dʒ	ɟænd͡ʒ
2123	Azerbaijani	poor	k ɑ s ɯ b	kɑsɯb
2124	Azerbaijani	poor	j ɔ χ s u l	jɔχsul
2125	Azerbaijani	rich	z æ n ɟ ɪ n	zænɟɪn
2126	Azerbaijani	familiar	t ɑ n ɯ ʃ	tɑnɯʃ
2127	Azerbaijani	famous	m æ ʃ h u r	mæʃhur
2128	Azerbaijani	foreign	j ɑ d	jɑd
2129	Azerbaijani	different	d y r l y	dyrly
2130	Azerbaijani	near	j ɑ χ ɯ n	jɑχɯn
2131	Azerbaijani	far	u z ɑ g	uzɑɡ
2132	Azerbaijani	left	s ɔ l	sɔl
2133	Azerbaijani	right	s ɑ ɣ	sɑɣ
2134	Azerbaijani	other	b ɑ ʃ g ɑ	bɑʃɡɑ
2135	Azerbaijani	first	b ɪ r ɪ n dʒ ɪ	bɪrɪnd͡ʒɪ
2136	Azerbaijani	second	ɪ k ɪ n dʒ ɪ	ɪkɪnd͡ʒɪ
2137	Azerbaijani	third	y tʃ y n dʒ y	yt͡ʃynd͡ʒy
2138	Azerbaijani	last	s ɔ n u n dʒ u	sɔnund͡ʒu
2139	Azerbaijani	last	ɑ χ ɯ r ɯ n dʒ ɯ	ɑχɯrɯnd͡ʒɯ
2140	Azerbaijani	alone	t æ k	tæk
2141	Azerbaijani	alone	j ɑ l g ɯ z	jɑlɡɯz
2142	Azerbaijani	at once	b ɪ r d æ n	bɪrdæn
2143	Azerbaijani	together	b ɪ r l ɪ k d æ	bɪrlɪkdæ
2144	Azerbaijani	suddenly	g æ f ɪ l d æ n	ɡæfɪldæn
2145	Azerbaijani	instantly	h æ m æ n	hæmæn
2146	Azerbaijani	instantly	d æ r h ɑ l	dærhɑl
2147	Azerbaijani	later	s ɔ n r ɑ	sɔnrɑ
2148	Azerbaijani	now	ɪ n d ɪ	ɪndɪ
2149	Azerbaijani	today	b u ɟ y n	buɟyn
2150	Azerbaijani	tomorrow	s ɑ b ɑ h	sɑbɑh
2151	Azerbaijani	soon	j ɑ χ ɯ n d ɑ	jɑχɯndɑ
2152	Azerbaijani	soon	t ɛ z l ɪ k l æ	tɛzlɪklæ
2153	Azerbaijani	then	ɔ n d ɑ	ɔndɑ
2154	Azerbaijani	yesterday	d y n æ n	dynæn
2155	Azerbaijani	once	æ vː æ lː æ r	ævːælːær
2156	Azerbaijani	at that time	ɔ + v ɑ χ t	ɔ_vɑχt
2157	Azerbaijani	afterwards	s ɔ n r ɑ	sɔnrɑ
2158	Azerbaijani	before	g ɑ b ɑ g dʒ ɑ d ɑ n	ɡɑbɑɡd͡ʒɑdɑn
2159	Azerbaijani	at first	æ vː æ l	ævːæl
2160	Azerbaijani	once	b ɪ r + d æ f æ	bɪr_dæfæ
2161	Azerbaijani	sometimes	h æ r d æ n b ɪ r	hærdænbɪr
2162	Azerbaijani	often	t ɛ z t ɛ z	tɛztɛz
2163	Azerbaijani	often	tʃ ɔ χ + v ɑ χ t	t͡ʃɔχ_vɑχt
2164	Azerbaijani	always	d ɑ ɪ m ɪ	dɑɪmɪ
2165	Azerbaijani	always	h æ m ɪ ʃ æ	hæmɪʃæ
2166	Azerbaijani	never	æ s l ɑ	æslɑ
2167	Azerbaijani	never	h ɛ tʃ + b ɪ r + z ɑ m ɑ n	hɛt͡ʃ_bɪr_zɑmɑn
2168	Azerbaijani	here	b u r ɑ	burɑ
2169	Azerbaijani	here	b u r ɑ d ɑ	burɑdɑ
2170	Azerbaijani	hither	b u r ɑ j ɑ	burɑjɑ
2171	Azerbaijani	hence	b u r ɑ d ɑ n	burɑdɑn
2172	Azerbaijani	there	ɔ r ɑ	ɔrɑ
2173	Azerbaijani	there	ɔ r ɑ d ɑ	ɔrɑdɑ
2174	Azerbaijani	thither	ɔ r ɑ j ɑ	ɔrɑjɑ
2175	Azerbaijani	ahead	d y z	dyz
2176	Azerbaijani	forward	ɪ r æ l ɪ	ɪrælɪ
2177	Azerbaijani	backward	ɟ ɛ r ɪ	ɟɛrɪ
2178	Azerbaijani	back	ɟ ɛ r ɪ j æ	ɟɛrɪjæ
2179	Azerbaijani	below	ɑ ʃ ɑ ɣ ɯ d ɑ	ɑʃɑɣɯdɑ
2180	Azerbaijani	down	ɑ ʃ ɑ ɣ ɯ	ɑʃɑɣɯ
2181	Azerbaijani	above	j u χ ɑ r ɯ d ɑ	juχɑrɯdɑ
2182	Azerbaijani	up	j u χ ɑ r ɯ	juχɑrɯ
2183	Azerbaijani	everywhere	h æ r + j ɛ r d æ	hær_jɛrdæ
2184	Azerbaijani	a little	b ɪ r + ɑ z	bɪr_ɑz
2185	Azerbaijani	hardly	ɟ y dʒ l æ	ɟyd͡ʒlæ
2186	Azerbaijani	very	tʃ ɔ χ	t͡ʃɔχ
2187	Azerbaijani	so	b ɛ l æ	bɛlæ
2188	Azerbaijani	still	h æ l æ	hælæ
